source_file,source_path,domain,file_kind,target_module,target_record_type,target_schema,target_table,current_stage,status,row_count,column_count,notes
system_QIVerse DB.csv,20_schemas/reference_csv/system/system_QIVerse DB.csv,system,csv,system,record,qisystem,records,raw,needs_profile,140,11,Raw ingestion target
system_speedometer-3-2025-11-15T22_11_11.487Z.csv,20_schemas/reference_csv/system/system_speedometer-3-2025-11-15T22_11_11.487Z.csv,system,csv,system,record,qisystem,records,raw,needs_profile,196,12,Raw ingestion target
system_Spread List.csv,20_schemas/reference_csv/system/system_Spread List.csv,system,csv,system,record,qisystem,records,raw,needs_profile,15,9,Raw ingestion target
system_Tools Checklist.csv,20_schemas/reference_csv/system/system_Tools Checklist.csv,system,csv,system,record,qisystem,records,raw,needs_profile,20,3,Raw ingestion target
system_Tools.csv,20_schemas/reference_csv/system/system_Tools.csv,system,csv,system,record,qisystem,records,raw,needs_profile,6,2,Raw ingestion target
system_Translation_Codes_001.csv,20_schemas/reference_csv/system/system_Translation_Codes_001.csv,system,csv,system,record,qisystem,records,raw,needs_profile,2,4,Raw ingestion target
system_Triggers Detail.csv,20_schemas/reference_csv/system/system_Triggers Detail.csv,system,csv,system,record,qisystem,records,raw,needs_profile,10,6,Raw ingestion target
system_Types.csv,20_schemas/reference_csv/system/system_Types.csv,system,csv,system,record,qisystem,records,raw,needs_profile,7,2,Raw ingestion target
system_usage_timeline_rows.csv,20_schemas/reference_csv/system/system_usage_timeline_rows.csv,system,csv,system,record,qisystem,records,raw,needs_profile,5,10,Raw ingestion target
20251116_app_code_gallery_database.csv,sheets/20251116_app_code_gallery_database.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,220,7,Raw ingestion target
activity_merged.csv,sheets/activity_merged.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,25513,15,Raw ingestion target
AES_Usage_Timeline.csv,sheets/AES_Usage_Timeline.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,5,8,Raw ingestion target
Company_Details_001.csv,sheets/Company_Details_001.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,1,19,Raw ingestion target
conversations.csv,sheets/conversations.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,322820,7,Raw ingestion target
gina_memory_rows.csv,sheets/gina_memory_rows.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,49,7,Raw ingestion target
ignore_list_v1.csv,sheets/ignore_list_v1.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,18,4,Raw ingestion target
Notifications.csv,sheets/Notifications.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,16,6,Raw ingestion target
Programming Languages.csv,sheets/Programming Languages.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,10,6,Raw ingestion target
qially_llc_account_list.csv,sheets/qially_llc_account_list.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,156,10,Raw ingestion target
QiNote Systems.csv,sheets/QiNote Systems.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,11,6,Raw ingestion target
qi_rules_template.csv,sheets/qi_rules_template.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,5,9,Raw ingestion target
raw_emails_combined.csv,sheets/raw_emails_combined.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,672,25,Raw ingestion target
realms_registry.csv,sheets/realms_registry.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,9,6,Raw ingestion target
sensitivity_classification_matrix_v1.csv,sheets/sensitivity_classification_matrix_v1.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,6,7,Raw ingestion target
businesses_db.csv,sheets/business/businesses_db.csv,business,csv,business,record,qisystem,records,raw,needs_profile,10,4,Raw ingestion target
business_Industry Reports.csv,sheets/business/business_Industry Reports.csv,business,csv,business,record,qisystem,records,raw,needs_profile,6,4,Raw ingestion target
calls_db.csv,sheets/business/calls_db.csv,business,csv,business,record,qisystem,records,raw,needs_profile,371,35,Raw ingestion target
engagements_db.csv,sheets/business/engagements_db.csv,business,csv,business,record,qisystem,records,raw,needs_profile,116,60,Raw ingestion target
experience_db.csv,sheets/business/experience_db.csv,business,csv,business,record,qisystem,records,raw,needs_profile,34,3,Raw ingestion target
meetings_db.csv,sheets/business/meetings_db.csv,business,csv,business,record,qisystem,records,raw,needs_profile,299,45,Raw ingestion target
products_services_db.csv,sheets/business/products_services_db.csv,business,csv,business,record,qisystem,records,raw,needs_profile,3898,57,Raw ingestion target
qially_db.csv,sheets/business/qially_db.csv,business,csv,business,record,qisystem,records,raw,needs_profile,1,19,Raw ingestion target
skills_db.csv,sheets/business/skills_db.csv,business,csv,business,record,qisystem,records,raw,needs_profile,1373,12,Raw ingestion target
socials_db.csv,sheets/business/socials_db.csv,business,csv,business,record,qisystem,records,raw,needs_profile,8,4,Raw ingestion target
tasks_db.csv,sheets/business/tasks_db.csv,business,csv,business,record,qisystem,records,raw,needs_profile,92,5,Raw ingestion target
territories_db.csv,sheets/business/territories_db.csv,business,csv,business,record,qisystem,records,raw,needs_profile,7,14,Raw ingestion target
client_Client Docs.csv,sheets/client/client_Client Docs.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,47,4,Raw ingestion target
