Line Item,Part,Type,Index Main,Index Name,Schedule C Name,Parent item,Sub-item
"Part II - Expenses-20a. Rent or lease: Vehicles,machinery,and equipment",Part 2,Expense,,,
Part II - Expenses-20b. Rent or lease: Other business property,Part 2,Expense,,,SchC,,
Part II - Expenses-21. Repairs and maintenance,Part 2,Expense,,,SchC,,
Part II - Expenses-22. Supplies (not included in Part III),Part 2,Expense,,,SchC,,
Part II - Expenses-23. Taxes and licenses,Part 2,Expense,,,SchC,,
Part II - Expenses-24a. Travel,Part 2,Expense,,,SchC,,
Part II - Expenses-24b. Deductible meals,Part 2,Expense,,,SchC,,
Part II - Expenses-25. Utilities,Part 2,Expense,,,SchC,,
Part II - Expenses-26. Wages (less employment credits),Part 2,Expense,,,SchC,,
Part II - Expenses-27a. Other expenses (list below or on an attached statement),Part 2,Expense,,,SchC,,
Part III - Cost of Goods Sold,Part 3,COGS,,,SchC,,
Part III - Cost of Goods Sold-33. Method(s) used to value closing inventory,Part 3,COGS,,,SchC,,
"Part III - Cost of Goods Sold-34. Was there any change in determining quantities,costs,or valuations between opening and closing inventory? (Yes/No)",Part 3,COGS,,,
Part III - Cost of Goods Sold-35. Inventory at beginning of year,Part 3,COGS,,,SchC,,
Part III - Cost of Goods Sold-36. Purchases less cost of items withdrawn for personal use,Part 3,COGS,,,SchC,,
Part III - Cost of Goods Sold-37. Cost of labor (do not include any amounts listed in Part II),Part 3,COGS,,,SchC,,
Part III - Cost of Goods Sold-38. Materials and supplies,Part 3,COGS,,,SchC,,
Part III - Cost of Goods Sold-39. Other costs,Part 3,COGS,,,SchC,,
Part III - Cost of Goods Sold-40. Add lines 35 through 39,Part 3,COGS,,,SchC,,
Part III - Cost of Goods Sold-41. Inventory at end of year,Part 3,COGS,,,SchC,,
Part III - Cost of Goods Sold-42. Cost of goods sold (subtract line 41 from line 40),Part 3,COGS,,,SchC,,
Part IV - Information on Your Vehicle,Part 4,Vehicle,,,SchC,,
"Part IV - Information on Your Vehicle-43. When did you place your vehicle in service for business purposes? (month,day,year)",Part 4,Vehicle,,,
"Part IV - Information on Your Vehicle-44. Of the total number of miles you drove your vehicle during 2023,enter the number of miles you used your vehicle for:",Part 4,Vehicle,,,,
Part IV - Information on Your Vehicle-44a. Business,Part 4,Vehicle,,,SchC,,
Part IV - Information on Your Vehicle-44b. Commuting,Part 4,Vehicle,,,SchC,,
Part IV - Information on Your Vehicle-44c. Other,Part 4,Vehicle,,,SchC,,
Part IV - Information on Your Vehicle-45. Was your vehicle available for personal use during off-duty hours?,Part 4,Vehicle,,,SchC,,
Part IV - Information on Your Vehicle-46. Do you (or your spouse) have another vehicle available for personal use?,Part 4,Vehicle,,,SchC,,
Part IV - Information on Your Vehicle-47a. Do you have evidence to support your deduction?,Part 4,Vehicle,,,SchC,,
"Part IV - Information on Your Vehicle-47b. If 'Yes,' is the evidence written?",Part 4,Vehicle,,,,
"Part V - Other Expenses-48. Expenses (list below,including the description and amount for each expense not included in Part II)",Part 5,Expense,,,,
