CHARGE NAME,FELONY,MISD,CITATION,Condition," Condition Met?"," 2"," 3",BGCK Conditions,Review Status
Kidnapping (false/unlawful imprisonment),,,,,No,,,,Not started
"Neglect/Cruelty/Endangerment/Abuse/Recklessness (non-traffic reckless/wanton endangerment,child/elder/dependent adult abuse/neglect)",,,,,No,,,
Promoting Contraband,,,,,No,,,,Not started
"Gaming (accept a wager,gambling,keeping a gambling house,rigging,mob action,tampering)",,,,
"Crimes against minors (endangerment,etc.)",,,,,No,,,
"Computer/Electronics/Data (hacking,identity theft,skimming,unauthorized access,illegal use/possession of electronic devices,phishing)",,,,
"Drugs (sell/manufacture/distribution,deliver,dispense without prescription)",,,,,No,,
Attempt/Conspiracy with Description of Crime - Adjudicate based on nature of crime,,,,,No,Depends on convictions,,,Not started
Attempt/Conspiracy without Description of Crime,,,,,No,Depends on convictions,,,Not started
Guilty - A judge or jury finds that the evidence proves beyond a reasonable doubt that the defendant committed the offense or the defendant pleads and is found guilty.,,,,,No," "," ",,Not started
"Alcohol (DUI - 3rd offense,blood alcohol level over .10% with injury/death/property damage,manufacture alcohol)",,,,,No,,
"Disorderly Conduct (violence including fighting,weapons)",,,,,No,,,
No Contest/ Nolo Contendere - A statement that the defendant will not contest a charge.,,,,,No,,,,Not started
"Animals (animal fights,animal abuse/cruelty)",,,," ",No,,,
"Felony Level Convictions ",,,,,No,,,,Not started
"Dispositions of deferred adjudication/prosecution,adjudication/judgment withheld,conditional discharge,diversion,and pre-trial diversion/intervention may be treated the same as convictions in the following states: AZ,DE,FL,KS,IN,MD
Reportable/public criminal case where person is under 18 and charging court is unknown,,,,,No,X,,,Not started
"Felonies ",,,,,No,,,,Not started
Juvenile Records (under 18 years of age),,,,,No,,,,Not started
State Law Compliance - Job Relatedness,,,,,No,,,,Not started
Criminal cases that are name-only and/or partial identifier matches that would be adjudicated as does not meet requirements will be adjudicated as needs review.,,,,,No,,,,Not started
Reportable/public criminal case where juvenile was charged as an adult,,,,,No,X,,,Not started
"To ensure compliance with state law,when the individual resides in or the position is located in CA,DC,HI,KS,MA,MD,MO,NJ,NY
Deferral/Diversion States,,,,,No,,,,Not started
Reportable/public criminal case out of juvenile court,,,,,No,X,,,Not started
"Contractors are required to disclose 7 years of history as permitted by state law. If the disposition date or prison release date of a case falls within the previous 7 years of history,the case will be used in adjudication. If  probation or parole concludes within the previous 7 years,the case will be used to adjudicate as permitted by state law. Probation will not be used to extend the scope in CA,KS,MA,MD,NM,NY,WA,WI (Dane Co).
",,,,,No,,,,Not started
Name Match Only Criminal Cases,,,,,No,,,,Not started
Scope,,,,,No,,,,Not started
Adjudication:,,,,,No,,,,Not started
Scope,,,,,No,,,,Not started
Adjudication:,,,,,No,,,,Not started
,,,,MEETS REQUIREMENTS,No,NEEDS FURTHER REVIEW,DELAYED DECISION,,Not started
"Dispositions of deferred adjudication/prosecution,KS,IN,DE,FL,diversion,adjudication/judgment withheld,conditional discharge,and pre-trial diversion/intervention may be treated the same as convictions in the following states: AZ,MD
Reportable/public criminal case where person is under 18 and charging court is unknown,,,,,No,X,,,Not started
"Felonies ",,,,,No,,,,Not started
Juvenile Records (under 18 years of age),,,,,No,,,,Not started
State Law Compliance - Job Relatedness,,,,,No,,,,Not started
Criminal cases that are name-only and/or partial identifier matches that would be adjudicated as does not meet requirements will be adjudicated as needs review.,,,,,No,,,,Not started
Reportable/public criminal case where juvenile was charged as an adult,,,,,No,X,,,Not started
"To ensure compliance with state law,MO,NJ,MA,MD,HI,when the individual resides in or the position is located in CA,DC,KS,NY
Deferral/Diversion States,,,,,No,,,,Not started
Reportable/public criminal case out of juvenile court,,,,,No,X,,,Not started
CONVICTION DISPOSITIONS,,,,,No,,,,Not started
",,,,,No,,,,Not started
Name Match Only Criminal Cases,,,,,No,,,,Not started
